ADDRESS	CRIME_TYPE	<YEAR1>	CRIME_COUNT	<YEAR2>	CRIME_COUNT...
-97.64204227,30.3571031	WARRANT ARREST NON TRAFFIC	2015	3	2010	3	
-97.64204227,30.3571031	ASSAULT WITH INJURY	2015	1	2010	2	
-97.64204227,30.3571031	FELONY ENHANCEMENT/ASSLT W/INJ	2015	1	2010	2	
-97.64204227,30.3571031	AGG ASSAULT	2015	2	2010	4	
-97.64204227,30.3571031	SUSPICIOUS VEH	2015	1	2010	2	
-97.64204227,30.3571031	AUTO THEFT	2015	2	2010	3	
-97.64204227,30.3571031	IMPOUNDED VEH	2015	1	2010	4	
-97.64204227,30.3571031	ABANDONED VEH	2015	2	2010	4	
-97.64204227,30.3571031	CRASH/LEAVING THE SCENE	2015	28	2010	16	
-97.64204227,30.3571031	THEFT	2015	3	2010	7	
-97.64204227,30.3571031	PUBLIC INTOXICATION	2015	2	2010	3	
-97.64204227,30.3571031	FAMILY DISTURBANCE	2015	6	2010	1	
-97.64204227,30.3571031	POSS OF DRUG PARAPHERNALIA	2015	3	2010	1	
-97.64204227,30.3571031	DISTURBANCE - OTHER	2015	5	2010	7	
-97.64204227,30.3571031	LOST PROP	2015	4	2010	9	
-97.64204227,30.3571031	POSS MARIJUANA	2015	3	2010	5	
-97.64204227,30.3571031	CRIMINAL MISCHIEF	2015	4	2010	5	
-97.64204227,30.3571031	DRIVING WHILE LICENSE INVALID	2015	6	2010	3	
-97.64204227,30.3571031	POSS CONTROLLED SUB/NARCOTIC	2015	3	2010	1	
-97.64204227,30.3571031	ASSAULT W/INJURY-FAM/DATE VIOL	2015	2	2010	2	
-97.64204227,30.3571031	ASSAULT BY THREAT	2015	1	2010	1	
-97.64204227,30.3571031	CUSTODY ARREST TRAFFIC WARR	2015	4	2010	5	
-97.64204227,30.3571031	DWI 2ND	2015	1	2010	1	
-97.64204227,30.3571031	TRAFFIC HAZARD/DEBRIS	2015	1	2010	1	
-97.64204227,30.3571031	DWI	2015	6	2010	13	
-97.64204227,30.3571031	THEFT INFORMATION	2015	1	2010	1	
-97.64204227,30.3571031	ASSAULT BY CONTACT FAM/DATING	2015	2	2010	1	
-97.64204288,30.29354402	CRASH/NO INJURY	2015	2	2010	1	
-97.64204288,30.29354402	BURGLARY OF VEHICLE	2015	1	2010	4	
-97.64204288,30.29354402	REQUEST TO APPREHEND	2015	2	2010	5	
-97.64204288,30.29354402	WARRANT ARREST NON TRAFFIC	2015	3	2010	3	
-97.64204288,30.29354402	ASSAULT WITH INJURY	2015	1	2010	2	
-97.64204288,30.29354402	FELONY ENHANCEMENT/ASSLT W/INJ	2015	1	2010	2	
-97.64204288,30.29354402	AGG ASSAULT	2015	2	2010	4	
-97.64204288,30.29354402	SUSPICIOUS VEH	2015	1	2010	2	
-97.64204288,30.29354402	AUTO THEFT	2015	2	2010	3	
-97.64204288,30.29354402	IMPOUNDED VEH	2015	1	2010	4	
-97.64204288,30.29354402	ABANDONED VEH	2015	2	2010	4	
-97.64204288,30.29354402	CRASH/LEAVING THE SCENE	2015	28	2010	16	
-97.64204288,30.29354402	THEFT	2015	3	2010	7	
-97.64204288,30.29354402	PUBLIC INTOXICATION	2015	2	2010	3	
-97.64204288,30.29354402	FAMILY DISTURBANCE	2015	6	2010	1	
-97.64204288,30.29354402	POSS OF DRUG PARAPHERNALIA	2015	3	2010	1	
-97.64204288,30.29354402	DISTURBANCE - OTHER	2015	5	2010	7	
-97.64204288,30.29354402	LOST PROP	2015	4	2010	9	
-97.64204288,30.29354402	POSS MARIJUANA	2015	3	2010	5	
-97.64204288,30.29354402	CRIMINAL MISCHIEF	2015	4	2010	6	
-97.64204288,30.29354402	DRIVING WHILE LICENSE INVALID	2015	6	2010	3	
-97.64204288,30.29354402	POSS CONTROLLED SUB/NARCOTIC	2015	3	2010	1	
-97.64204288,30.29354402	ASSAULT W/INJURY-FAM/DATE VIOL	2015	2	2010	2	
-97.64204288,30.29354402	ASSAULT BY THREAT	2015	1	2010	1	
-97.64204288,30.29354402	CUSTODY ARREST TRAFFIC WARR	2015	4	2010	5	
-97.64204288,30.29354402	DWI 2ND	2015	1	2010	1	
-97.64204288,30.29354402	TRAFFIC HAZARD/DEBRIS	2015	1	2010	1	
-97.64204288,30.29354402	DWI	2015	6	2010	13	
-97.64204288,30.29354402	THEFT INFORMATION	2015	1	2010	1	
-97.64204288,30.29354402	ASSAULT BY CONTACT FAM/DATING	2015	2	2010	1	
-97.6420689,30.20463542	CRASH/NO INJURY	2015	2	2010	1	
-97.6420689,30.20463542	BURGLARY OF VEHICLE	2015	1	2010	4	
-97.6420689,30.20463542	REQUEST TO APPREHEND	2015	2	2010	5	
-97.6420689,30.20463542	WARRANT ARREST NON TRAFFIC	2015	3	2010	3	
-97.6420689,30.20463542	ASSAULT WITH INJURY	2015	1	2010	2	
-97.6420689,30.20463542	FELONY ENHANCEMENT/ASSLT W/INJ	2015	1	2010	2	
-97.6420689,30.20463542	AGG ASSAULT	2015	2	2010	4	
-97.6420689,30.20463542	SUSPICIOUS VEH	2015	1	2010	2	
-97.6420689,30.20463542	AUTO THEFT	2015	2	2010	3	
-97.6420689,30.20463542	IMPOUNDED VEH	2015	1	2010	4	
-97.6420689,30.20463542	ABANDONED VEH	2015	2	2010	4	
-97.6420689,30.20463542	CRASH/LEAVING THE SCENE	2015	28	2010	16	
-97.6420689,30.20463542	THEFT	2015	3	2010	7	
-97.6420689,30.20463542	PUBLIC INTOXICATION	2015	2	2010	4	
-97.6420689,30.20463542	FAMILY DISTURBANCE	2015	6	2010	1	
-97.6420689,30.20463542	POSS OF DRUG PARAPHERNALIA	2015	3	2010	1	
-97.6420689,30.20463542	DISTURBANCE - OTHER	2015	5	2010	7	
-97.6420689,30.20463542	LOST PROP	2015	4	2010	9	
-97.6420689,30.20463542	POSS MARIJUANA	2015	3	2010	5	
-97.6420689,30.20463542	CRIMINAL MISCHIEF	2015	4	2010	6	
-97.6420689,30.20463542	DRIVING WHILE LICENSE INVALID	2015	6	2010	4	
-97.6420689,30.20463542	POSS CONTROLLED SUB/NARCOTIC	2015	3	2010	1	
-97.6420689,30.20463542	ASSAULT W/INJURY-FAM/DATE VIOL	2015	2	2010	2	
-97.6420689,30.20463542	ASSAULT BY THREAT	2015	1	2010	1	
-97.6420689,30.20463542	CUSTODY ARREST TRAFFIC WARR	2015	4	2010	5	
-97.6420689,30.20463542	DWI 2ND	2015	1	2010	1	
-97.6420689,30.20463542	TRAFFIC HAZARD/DEBRIS	2015	1	2010	1	
-97.6420689,30.20463542	DWI	2015	6	2010	13	
-97.6420689,30.20463542	THEFT INFORMATION	2015	1	2010	1	
-97.6420689,30.20463542	ASSAULT BY CONTACT FAM/DATING	2015	2	2010	1	
-97.64219183,30.30047815	CRASH/NO INJURY	2015	2	2010	1	
-97.64219183,30.30047815	BURGLARY OF VEHICLE	2015	1	2010	4	
-97.64219183,30.30047815	REQUEST TO APPREHEND	2015	2	2010	5	
-97.64219183,30.30047815	WARRANT ARREST NON TRAFFIC	2015	3	2010	3	
-97.64219183,30.30047815	ASSAULT WITH INJURY	2015	1	2010	2	
-97.64219183,30.30047815	FELONY ENHANCEMENT/ASSLT W/INJ	2015	1	2010	2	
-97.64219183,30.30047815	AGG ASSAULT	2015	2	2010	4	
-97.64219183,30.30047815	SUSPICIOUS VEH	2015	1	2010	2	
-97.64219183,30.30047815	AUTO THEFT	2015	2	2010	3	
-97.64219183,30.30047815	IMPOUNDED VEH	2015	1	2010	4	
-97.64219183,30.30047815	ABANDONED VEH	2015	2	2010	4	
-97.64219183,30.30047815	CRASH/LEAVING THE SCENE	2015	28	2010	16	
-97.64219183,30.30047815	THEFT	2015	3	2010	7	
-97.64219183,30.30047815	PUBLIC INTOXICATION	2015	2	2010	4	
-97.64219183,30.30047815	FAMILY DISTURBANCE	2015	6	2010	1	
-97.64219183,30.30047815	POSS OF DRUG PARAPHERNALIA	2015	3	2010	1	
-97.64219183,30.30047815	DISTURBANCE - OTHER	2015	5	2010	7	
-97.64219183,30.30047815	LOST PROP	2015	4	2010	9	
-97.64219183,30.30047815	POSS MARIJUANA	2015	3	2010	5	
-97.64219183,30.30047815	CRIMINAL MISCHIEF	2015	4	2010	6	
-97.64219183,30.30047815	DRIVING WHILE LICENSE INVALID	2015	6	2010	4	
-97.64219183,30.30047815	POSS CONTROLLED SUB/NARCOTIC	2015	3	2010	1	
-97.64219183,30.30047815	ASSAULT W/INJURY-FAM/DATE VIOL	2015	2	2010	2	
-97.64219183,30.30047815	ASSAULT BY THREAT	2015	1	2010	1	
-97.64219183,30.30047815	CUSTODY ARREST TRAFFIC WARR	2015	4	2010	5	
-97.64219183,30.30047815	DWI 2ND	2015	1	2010	1	
-97.64219183,30.30047815	TRAFFIC HAZARD/DEBRIS	2015	1	2010	2	
-97.64219183,30.30047815	DWI	2015	6	2010	13	
-97.64219183,30.30047815	THEFT INFORMATION	2015	1	2010	1	
-97.64219183,30.30047815	ASSAULT BY CONTACT FAM/DATING	2015	2	2010	1	
-97.64302775,30.3008505	CRASH/NO INJURY	2015	2	2010	1	
-97.64302775,30.3008505	BURGLARY OF VEHICLE	2015	1	2010	4	
-97.64302775,30.3008505	REQUEST TO APPREHEND	2015	2	2010	5	
-97.64302775,30.3008505	WARRANT ARREST NON TRAFFIC	2015	3	2010	3	
-97.64302775,30.3008505	ASSAULT WITH INJURY	2015	1	2010	2	
-97.64302775,30.3008505	FELONY ENHANCEMENT/ASSLT W/INJ	2015	1	2010	2	
-97.64302775,30.3008505	AGG ASSAULT	2015	2	2010	4	
-97.64302775,30.3008505	SUSPICIOUS VEH	2015	1	2010	2	
-97.64302775,30.3008505	AUTO THEFT	2015	2	2010	3	
-97.64302775,30.3008505	IMPOUNDED VEH	2015	1	2010	4	
-97.64302775,30.3008505	ABANDONED VEH	2015	2	2010	4	
-97.64302775,30.3008505	CRASH/LEAVING THE SCENE	2015	28	2010	17	
-97.64302775,30.3008505	THEFT	2015	3	2010	7	
-97.64302775,30.3008505	PUBLIC INTOXICATION	2015	2	2010	4	
-97.64302775,30.3008505	FAMILY DISTURBANCE	2015	6	2010	1	
-97.64302775,30.3008505	POSS OF DRUG PARAPHERNALIA	2015	3	2010	1	
-97.64302775,30.3008505	DISTURBANCE - OTHER	2015	5	2010	7	
-97.64302775,30.3008505	LOST PROP	2015	4	2010	9	
-97.64302775,30.3008505	POSS MARIJUANA	2015	3	2010	5	
-97.64302775,30.3008505	CRIMINAL MISCHIEF	2015	4	2010	6	
-97.64302775,30.3008505	DRIVING WHILE LICENSE INVALID	2015	6	2010	4	
-97.64302775,30.3008505	POSS CONTROLLED SUB/NARCOTIC	2015	3	2010	1	
-97.64302775,30.3008505	ASSAULT W/INJURY-FAM/DATE VIOL	2015	2	2010	2	
-97.64302775,30.3008505	ASSAULT BY THREAT	2015	1	2010	1	
-97.64302775,30.3008505	CUSTODY ARREST TRAFFIC WARR	2015	4	2010	5	
-97.64302775,30.3008505	DWI 2ND	2015	1	2010	1	
-97.64302775,30.3008505	TRAFFIC HAZARD/DEBRIS	2015	1	2010	2	
-97.64302775,30.3008505	DWI	2015	6	2010	13	
-97.64302775,30.3008505	THEFT INFORMATION	2015	1	2010	1	
-97.64302775,30.3008505	ASSAULT BY CONTACT FAM/DATING	2015	2	2010	1	
-97.64323051,30.30790404	CRASH/NO INJURY	2015	2	2010	1	
-97.64323051,30.30790404	BURGLARY OF VEHICLE	2015	1	2010	4	
-97.64323051,30.30790404	REQUEST TO APPREHEND	2015	2	2010	5	
-97.64323051,30.30790404	WARRANT ARREST NON TRAFFIC	2015	3	2010	3	
-97.64323051,30.30790404	ASSAULT WITH INJURY	2015	1	2010	2	
-97.64323051,30.30790404	FELONY ENHANCEMENT/ASSLT W/INJ	2015	1	2010	2	
-97.64323051,30.30790404	AGG ASSAULT	2015	2	2010	4	
-97.64323051,30.30790404	SUSPICIOUS VEH	2015	1	2010	2	
-97.64323051,30.30790404	AUTO THEFT	2015	2	2010	3	
-97.64323051,30.30790404	IMPOUNDED VEH	2015	1	2010	4	
-97.64323051,30.30790404	ABANDONED VEH	2015	2	2010	4	
-97.64323051,30.30790404	CRASH/LEAVING THE SCENE	2015	28	2010	17	
-97.64323051,30.30790404	THEFT	2015	3	2010	7	
-97.64323051,30.30790404	PUBLIC INTOXICATION	2015	2	2010	4	
-97.64323051,30.30790404	FAMILY DISTURBANCE	2015	6	2010	1	
-97.64323051,30.30790404	POSS OF DRUG PARAPHERNALIA	2015	3	2010	1	
-97.64323051,30.30790404	DISTURBANCE - OTHER	2015	5	2010	7	
-97.64323051,30.30790404	LOST PROP	2015	4	2010	9	
-97.64323051,30.30790404	POSS MARIJUANA	2015	3	2010	5	
-97.64323051,30.30790404	CRIMINAL MISCHIEF	2015	4	2010	6	
-97.64323051,30.30790404	DRIVING WHILE LICENSE INVALID	2015	6	2010	4	
-97.64323051,30.30790404	POSS CONTROLLED SUB/NARCOTIC	2015	3	2010	1	
-97.64323051,30.30790404	ASSAULT W/INJURY-FAM/DATE VIOL	2015	2	2010	2	
-97.64323051,30.30790404	ASSAULT BY THREAT	2015	1	2010	1	
-97.64323051,30.30790404	CUSTODY ARREST TRAFFIC WARR	2015	4	2010	5	
-97.64323051,30.30790404	DWI 2ND	2015	1	2010	1	
-97.64323051,30.30790404	TRAFFIC HAZARD/DEBRIS	2015	1	2010	2	
-97.64323051,30.30790404	DWI	2015	6	2010	13	
-97.64323051,30.30790404	THEFT INFORMATION	2015	1	2010	1	
-97.64323051,30.30790404	ASSAULT BY CONTACT FAM/DATING	2015	2	2010	1	
-97.64330651,30.29721758	CRASH/NO INJURY	2015	2	2010	1	
-97.64330651,30.29721758	BURGLARY OF VEHICLE	2015	1	2010	4	
-97.64330651,30.29721758	REQUEST TO APPREHEND	2015	2	2010	5	
-97.64330651,30.29721758	WARRANT ARREST NON TRAFFIC	2015	3	2010	3	
-97.64330651,30.29721758	ASSAULT WITH INJURY	2015	1	2010	2	
-97.64330651,30.29721758	FELONY ENHANCEMENT/ASSLT W/INJ	2015	1	2010	2	
-97.64330651,30.29721758	AGG ASSAULT	2015	2	2010	4	
-97.64330651,30.29721758	SUSPICIOUS VEH	2015	1	2010	2	
-97.64330651,30.29721758	AUTO THEFT	2015	2	2010	3	
-97.64330651,30.29721758	IMPOUNDED VEH	2015	1	2010	4	
-97.64330651,30.29721758	ABANDONED VEH	2015	2	2010	4	
-97.64330651,30.29721758	CRASH/LEAVING THE SCENE	2015	28	2010	17	
-97.64330651,30.29721758	THEFT	2015	3	2010	7	
-97.64330651,30.29721758	PUBLIC INTOXICATION	2015	2	2010	4	
-97.64330651,30.29721758	FAMILY DISTURBANCE	2015	6	2010	1	
-97.64330651,30.29721758	POSS OF DRUG PARAPHERNALIA	2015	3	2010	1	
-97.64330651,30.29721758	DISTURBANCE - OTHER	2015	5	2010	7	
-97.64330651,30.29721758	LOST PROP	2015	4	2010	9	
-97.64330651,30.29721758	POSS MARIJUANA	2015	3	2010	5	
-97.64330651,30.29721758	CRIMINAL MISCHIEF	2015	4	2010	6	
-97.64330651,30.29721758	DRIVING WHILE LICENSE INVALID	2015	6	2010	4	
-97.64330651,30.29721758	POSS CONTROLLED SUB/NARCOTIC	2015	3	2010	1	
-97.64330651,30.29721758	ASSAULT W/INJURY-FAM/DATE VIOL	2015	2	2010	2	
-97.64330651,30.29721758	ASSAULT BY THREAT	2015	1	2010	1	
-97.64330651,30.29721758	CUSTODY ARREST TRAFFIC WARR	2015	4	2010	5	
-97.64330651,30.29721758	DWI 2ND	2015	1	2010	1	
-97.64330651,30.29721758	TRAFFIC HAZARD/DEBRIS	2015	1	2010	2	
-97.64330651,30.29721758	DWI	2015	7	2010	13	
-97.64330651,30.29721758	THEFT INFORMATION	2015	1	2010	1	
-97.64330651,30.29721758	ASSAULT BY CONTACT FAM/DATING	2015	2	2010	1	
-97.6433284,30.29927533	CRASH/NO INJURY	2015	2	2010	1	
-97.6433284,30.29927533	BURGLARY OF VEHICLE	2015	1	2010	4	
-97.6433284,30.29927533	REQUEST TO APPREHEND	2015	2	2010	5	
-97.6433284,30.29927533	WARRANT ARREST NON TRAFFIC	2015	3	2010	3	
-97.6433284,30.29927533	ASSAULT WITH INJURY	2015	1	2010	2	
-97.6433284,30.29927533	FELONY ENHANCEMENT/ASSLT W/INJ	2015	1	2010	2	
-97.6433284,30.29927533	AGG ASSAULT	2015	2	2010	4	
-97.6433284,30.29927533	SUSPICIOUS VEH	2015	1	2010	2	
-97.6433284,30.29927533	AUTO THEFT	2015	2	2010	3	
-97.6433284,30.29927533	IMPOUNDED VEH	2015	1	2010	4	
-97.6433284,30.29927533	ABANDONED VEH	2015	2	2010	4	
-97.6433284,30.29927533	CRASH/LEAVING THE SCENE	2015	28	2010	17	
-97.6433284,30.29927533	THEFT	2015	3	2010	7	
-97.6433284,30.29927533	PUBLIC INTOXICATION	2015	2	2010	4	
-97.6433284,30.29927533	FAMILY DISTURBANCE	2015	6	2010	1	
-97.6433284,30.29927533	POSS OF DRUG PARAPHERNALIA	2015	3	2010	1	
-97.6433284,30.29927533	DISTURBANCE - OTHER	2015	5	2010	7	
-97.6433284,30.29927533	LOST PROP	2015	4	2010	9	
-97.6433284,30.29927533	POSS MARIJUANA	2015	3	2010	6	
-97.6433284,30.29927533	CRIMINAL MISCHIEF	2015	4	2010	6	
-97.6433284,30.29927533	DRIVING WHILE LICENSE INVALID	2015	6	2010	4	
-97.6433284,30.29927533	POSS CONTROLLED SUB/NARCOTIC	2015	3	2010	1	
-97.6433284,30.29927533	ASSAULT W/INJURY-FAM/DATE VIOL	2015	2	2010	2	
-97.6433284,30.29927533	ASSAULT BY THREAT	2015	1	2010	1	
-97.6433284,30.29927533	CUSTODY ARREST TRAFFIC WARR	2015	4	2010	5	
-97.6433284,30.29927533	DWI 2ND	2015	1	2010	1	
-97.6433284,30.29927533	TRAFFIC HAZARD/DEBRIS	2015	1	2010	2	
-97.6433284,30.29927533	DWI	2015	7	2010	13	
-97.6433284,30.29927533	THEFT INFORMATION	2015	1	2010	1	
-97.6433284,30.29927533	ASSAULT BY CONTACT FAM/DATING	2015	2	2010	1	
-97.64339875,30.36248111	CRASH/NO INJURY	2015	2	2010	1	
-97.64339875,30.36248111	BURGLARY OF VEHICLE	2015	1	2010	4	
-97.64339875,30.36248111	REQUEST TO APPREHEND	2015	2	2010	5	
-97.64339875,30.36248111	WARRANT ARREST NON TRAFFIC	2015	3	2010	3	
-97.64339875,30.36248111	ASSAULT WITH INJURY	2015	1	2010	2	
-97.64339875,30.36248111	FELONY ENHANCEMENT/ASSLT W/INJ	2015	1	2010	2	
-97.64339875,30.36248111	AGG ASSAULT	2015	2	2010	4	
-97.64339875,30.36248111	SUSPICIOUS VEH	2015	1	2010	2	
-97.64339875,30.36248111	AUTO THEFT	2015	2	2010	3	
-97.64339875,30.36248111	IMPOUNDED VEH	2015	1	2010	4	
-97.64339875,30.36248111	ABANDONED VEH	2015	2	2010	4	
-97.64339875,30.36248111	CRASH/LEAVING THE SCENE	2015	28	2010	17	
-97.64339875,30.36248111	THEFT	2015	3	2010	7	
-97.64339875,30.36248111	PUBLIC INTOXICATION	2015	2	2010	4	
-97.64339875,30.36248111	FAMILY DISTURBANCE	2015	6	2010	1	
-97.64339875,30.36248111	POSS OF DRUG PARAPHERNALIA	2015	3	2010	1	
-97.64339875,30.36248111	DISTURBANCE - OTHER	2015	5	2010	7	
-97.64339875,30.36248111	LOST PROP	2015	4	2010	9	
-97.64339875,30.36248111	POSS MARIJUANA	2015	3	2010	6	
-97.64339875,30.36248111	CRIMINAL MISCHIEF	2015	4	2010	6	
-97.64339875,30.36248111	DRIVING WHILE LICENSE INVALID	2015	6	2010	4	
-97.64339875,30.36248111	POSS CONTROLLED SUB/NARCOTIC	2015	3	2010	1	
-97.64339875,30.36248111	ASSAULT W/INJURY-FAM/DATE VIOL	2015	2	2010	2	
-97.64339875,30.36248111	ASSAULT BY THREAT	2015	1	2010	1	
-97.64339875,30.36248111	CUSTODY ARREST TRAFFIC WARR	2015	4	2010	5	
-97.64339875,30.36248111	DWI 2ND	2015	1	2010	1	
-97.64339875,30.36248111	TRAFFIC HAZARD/DEBRIS	2015	1	2010	2	
-97.64339875,30.36248111	DWI	2015	7	2010	13	
-97.64339875,30.36248111	THEFT INFORMATION	2015	1	2010	1	
-97.64339875,30.36248111	ASSAULT BY CONTACT FAM/DATING	2015	2	2010	1	
-97.64371241,30.29288872	CRASH/NO INJURY	2015	2	2010	1	
-97.64371241,30.29288872	BURGLARY OF VEHICLE	2015	1	2010	4	
-97.64371241,30.29288872	REQUEST TO APPREHEND	2015	2	2010	5	
-97.64371241,30.29288872	WARRANT ARREST NON TRAFFIC	2015	3	2010	3	
-97.64371241,30.29288872	ASSAULT WITH INJURY	2015	1	2010	2	
-97.64371241,30.29288872	FELONY ENHANCEMENT/ASSLT W/INJ	2015	1	2010	2	
-97.64371241,30.29288872	AGG ASSAULT	2015	2	2010	4	
-97.64371241,30.29288872	SUSPICIOUS VEH	2015	1	2010	2	
-97.64371241,30.29288872	AUTO THEFT	2015	2	2010	3	
-97.64371241,30.29288872	IMPOUNDED VEH	2015	1	2010	4	
-97.64371241,30.29288872	ABANDONED VEH	2015	2	2010	4	
-97.64371241,30.29288872	CRASH/LEAVING THE SCENE	2015	28	2010	17	
-97.64371241,30.29288872	THEFT	2015	3	2010	7	
-97.64371241,30.29288872	PUBLIC INTOXICATION	2015	2	2010	4	
-97.64371241,30.29288872	FAMILY DISTURBANCE	2015	6	2010	1	
-97.64371241,30.29288872	POSS OF DRUG PARAPHERNALIA	2015	3	2010	1	
-97.64371241,30.29288872	DISTURBANCE - OTHER	2015	5	2010	7	
-97.64371241,30.29288872	LOST PROP	2015	4	2010	9	
-97.64371241,30.29288872	POSS MARIJUANA	2015	3	2010	6	
-97.64371241,30.29288872	CRIMINAL MISCHIEF	2015	4	2010	6	
-97.64371241,30.29288872	DRIVING WHILE LICENSE INVALID	2015	6	2010	4	
-97.64371241,30.29288872	POSS CONTROLLED SUB/NARCOTIC	2015	3	2010	1	
-97.64371241,30.29288872	ASSAULT W/INJURY-FAM/DATE VIOL	2015	2	2010	2	
-97.64371241,30.29288872	ASSAULT BY THREAT	2015	1	2010	1	
-97.64371241,30.29288872	CUSTODY ARREST TRAFFIC WARR	2015	4	2010	5	
-97.64371241,30.29288872	DWI 2ND	2015	1	2010	1	
-97.64371241,30.29288872	TRAFFIC HAZARD/DEBRIS	2015	1	2010	2	
-97.64371241,30.29288872	DWI	2015	7	2010	13	
-97.64371241,30.29288872	THEFT INFORMATION	2015	1	2010	1	
-97.64371241,30.29288872	ASSAULT BY CONTACT FAM/DATING	2015	2	2010	1	
-97.64371524,30.29017138	CRASH/NO INJURY	2015	2	2010	1	
-97.64371524,30.29017138	BURGLARY OF VEHICLE	2015	1	2010	4	
-97.64371524,30.29017138	REQUEST TO APPREHEND	2015	2	2010	5	
-97.64371524,30.29017138	WARRANT ARREST NON TRAFFIC	2015	3	2010	3	
-97.64371524,30.29017138	ASSAULT WITH INJURY	2015	1	2010	2	
-97.64371524,30.29017138	FELONY ENHANCEMENT/ASSLT W/INJ	2015	1	2010	2	
-97.64371524,30.29017138	AGG ASSAULT	2015	2	2010	4	
-97.64371524,30.29017138	SUSPICIOUS VEH	2015	1	2010	2	
-97.64371524,30.29017138	AUTO THEFT	2015	2	2010	3	
-97.64371524,30.29017138	IMPOUNDED VEH	2015	1	2010	4	
-97.64371524,30.29017138	ABANDONED VEH	2015	2	2010	4	
-97.64371524,30.29017138	CRASH/LEAVING THE SCENE	2015	28	2010	17	
-97.64371524,30.29017138	THEFT	2015	3	2010	7	
-97.64371524,30.29017138	PUBLIC INTOXICATION	2015	2	2010	4	
-97.64371524,30.29017138	FAMILY DISTURBANCE	2015	6	2010	1	
-97.64371524,30.29017138	POSS OF DRUG PARAPHERNALIA	2015	3	2010	1	
-97.64371524,30.29017138	DISTURBANCE - OTHER	2015	5	2010	7	
-97.64371524,30.29017138	LOST PROP	2015	4	2010	9	
-97.64371524,30.29017138	POSS MARIJUANA	2015	3	2010	7	
-97.64371524,30.29017138	CRIMINAL MISCHIEF	2015	4	2010	6	
-97.64371524,30.29017138	DRIVING WHILE LICENSE INVALID	2015	6	2010	4	
-97.64371524,30.29017138	POSS CONTROLLED SUB/NARCOTIC	2015	3	2010	1	
-97.64371524,30.29017138	ASSAULT W/INJURY-FAM/DATE VIOL	2015	2	2010	2	
-97.64371524,30.29017138	ASSAULT BY THREAT	2015	1	2010	1	
-97.64371524,30.29017138	CUSTODY ARREST TRAFFIC WARR	2015	4	2010	5	
-97.64371524,30.29017138	DWI 2ND	2015	1	2010	1	
-97.64371524,30.29017138	TRAFFIC HAZARD/DEBRIS	2015	1	2010	2	
-97.64371524,30.29017138	DWI	2015	7	2010	13	
-97.64371524,30.29017138	THEFT INFORMATION	2015	1	2010	1	
-97.64371524,30.29017138	ASSAULT BY CONTACT FAM/DATING	2015	2	2010	1	
-97.64371722,30.29817508	CRASH/NO INJURY	2015	2	2010	1	
-97.64371722,30.29817508	BURGLARY OF VEHICLE	2015	1	2010	4	
-97.64371722,30.29817508	REQUEST TO APPREHEND	2015	2	2010	5	
-97.64371722,30.29817508	WARRANT ARREST NON TRAFFIC	2015	3	2010	3	
-97.64371722,30.29817508	ASSAULT WITH INJURY	2015	1	2010	2	
-97.64371722,30.29817508	FELONY ENHANCEMENT/ASSLT W/INJ	2015	1	2010	2	
-97.64371722,30.29817508	AGG ASSAULT	2015	2	2010	4	
-97.64371722,30.29817508	SUSPICIOUS VEH	2015	1	2010	2	
-97.64371722,30.29817508	AUTO THEFT	2015	2	2010	3	
-97.64371722,30.29817508	IMPOUNDED VEH	2015	1	2010	4	
-97.64371722,30.29817508	ABANDONED VEH	2015	2	2010	4	
-97.64371722,30.29817508	CRASH/LEAVING THE SCENE	2015	29	2010	18	
-97.64371722,30.29817508	THEFT	2015	3	2010	7	
-97.64371722,30.29817508	PUBLIC INTOXICATION	2015	2	2010	4	
-97.64371722,30.29817508	FAMILY DISTURBANCE	2015	6	2010	1	
-97.64371722,30.29817508	POSS OF DRUG PARAPHERNALIA	2015	3	2010	1	
-97.64371722,30.29817508	DISTURBANCE - OTHER	2015	5	2010	7	
-97.64371722,30.29817508	LOST PROP	2015	4	2010	9	
-97.64371722,30.29817508	POSS MARIJUANA	2015	3	2010	7	
-97.64371722,30.29817508	CRIMINAL MISCHIEF	2015	4	2010	6	
-97.64371722,30.29817508	DRIVING WHILE LICENSE INVALID	2015	6	2010	4	
-97.64371722,30.29817508	POSS CONTROLLED SUB/NARCOTIC	2015	3	2010	1	
-97.64371722,30.29817508	ASSAULT W/INJURY-FAM/DATE VIOL	2015	2	2010	2	
-97.64371722,30.29817508	ASSAULT BY THREAT	2015	1	2010	1	
-97.64371722,30.29817508	CUSTODY ARREST TRAFFIC WARR	2015	4	2010	5	
-97.64371722,30.29817508	DWI 2ND	2015	1	2010	1	
-97.64371722,30.29817508	TRAFFIC HAZARD/DEBRIS	2015	1	2010	2	
-97.64371722,30.29817508	DWI	2015	7	2010	13	
-97.64371722,30.29817508	THEFT INFORMATION	2015	1	2010	1	
-97.64371722,30.29817508	ASSAULT BY CONTACT FAM/DATING	2015	2	2010	1	
-97.64412301,30.30647605	CRASH/NO INJURY	2015	2	2010	1	
-97.64412301,30.30647605	BURGLARY OF VEHICLE	2015	1	2010	4	
-97.64412301,30.30647605	REQUEST TO APPREHEND	2015	2	2010	5	
-97.64412301,30.30647605	WARRANT ARREST NON TRAFFIC	2015	3	2010	3	
-97.64412301,30.30647605	ASSAULT WITH INJURY	2015	1	2010	2	
